2023-08-12 17:42:59 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 8.0.1.Final 
2023-08-12 17:43:03 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-08-12 17:43:03 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'sqlServerUnit' 
2023-08-12 17:43:04 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2023-08-12 17:43:04 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"] 
2023-08-12 17:43:04 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path '' 
2023-08-12 17:43:04 [restartedMain] INFO  c.i.InventoryProjectApplication                    - Started InventoryProjectApplication in 5.875 seconds (process running for 7.387) 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol                          - Pausing ProtocolHandler ["http-nio-8080"] 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.c.StandardService                            - Stopping service [Tomcat] 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol                          - Stopping ProtocolHandler ["http-nio-8080"] 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol                          - Destroying ProtocolHandler ["http-nio-8080"] 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'sqlServerUnit' 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'mysqlUnit' 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Shutdown initiated... 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Shutdown completed. 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2023-08-12 17:44:41 [RMI TCP Connection(4)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
